dataset_id_or_name	modality	sample_size	population_or_ancestry	access_link	intended_role
10x_PBMC_3k_scRNA_2016	scRNA-seq (10x)	~2.7k cells	human (PBMC)	https://support.10xgenomics.com/single-cell-gene-expression/datasets	benchmark_small_end2end (Cell Ranger matrix)
10x_PBMC_10k_scRNA	scRNA-seq (10x)	~10k cells	human (PBMC)	https://support.10xgenomics.com/single-cell-gene-expression/datasets	benchmark_small_end2end (Cell Ranger matrix)
10x_PBMC3K_PBMC10K_V3_INTEGRATION_PAIR_S3	scRNA-seq (10x; multi-input pair)	~2.7k + ~10k cells	human (PBMC)	S3 tarballs (see data/manifest.tsv)	benchmark_integration_small (multi-input integration compare; system-focused)
10x_PBMC_Multiome	scRNA+ATAC (10x multiome)	~10k–20k cells	human (PBMC)	https://www.10xgenomics.com/resources/datasets	replication_multiomic (agent should ignore ATAC initially; stress-test metadata)
Tabula_Sapiens	scRNA-seq atlas (multi-donor)	>400k cells	human (multi-tissue; mixed ancestry)	https://tabula-sapiens-portal.ds.czbiohub.org/	benchmark_large_scale (heterogeneity + batch integration)
HCA_Immune_Census (Cumulus benchmark)	scRNA/snRNA-seq atlas	large (100k+)	human (immune/bone marrow)	https://pubmed.ncbi.nlm.nih.gov/32719530/	replication_large_scale (cloud scaling + QC)
Seurat_PBMC_CITEseq (example datasets)	CITE-seq / multimodal	small–medium	human (PBMC)	https://satijalab.org/seurat/	demo_multimodal (not main evaluation)
Mouse_Brain_Visium_10x	spatial transcriptomics (Visium)	spots: 2k–5k	mouse	https://support.10xgenomics.com/spatial-gene-expression/datasets	spatial_module_smoke_test (Cell Ranger output)
Allen_Cortex_scRNA_SeuratV5_Reference_RDS	scRNA-seq reference (Seurat RDS)	~14k cells	mouse	https://www.dropbox.com/s/cuowvm4vrf65pvq/allen_cortex.rds?dl=1	spatial_reference_primary (brain cell taxonomy; provides `subclass` labels)
10x_Visium_Human_Lymph_Node_1p1_cf	spatial transcriptomics (Visium)	spots: ~4k	human	https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Lymph_Node/	spatial_module_baseline_smoke (Space Ranger outputs; ingestion+QC baseline)
Human_Breast_Cancer_Visium_10x	spatial transcriptomics (Visium)	spots: 2k–5k	human	https://support.10xgenomics.com/spatial-gene-expression/datasets	spatial_module_replication (deconvolution)
GEO_scRNA_disease_case_control	scRNA-seq (varies)	varies	human (disease-specific)	https://www.ncbi.nlm.nih.gov/geo/	real_world_variability (stress test metadata/labels)
ArrayExpress_scRNA	 scRNA-seq (varies)	varies	human/mouse	https://www.ebi.ac.uk/biostudies/arrayexpress	real_world_variability (replication source)
